date,open,high,low,close,volume,raw_close,change_percent,avg_vol_20d
1998-04-02,0.3797,0.40315,0.37395,0.39609999999999995,332855986,95.064,5.49,199624791.3
1998-04-03,0.40104999999999996,0.40155,0.38434999999999997,0.3875,233879990,93.0,-2.17,205431591.05
1998-04-06,0.3927,0.3948,0.3677,0.36925,220487991,88.62,-4.7,193400391.6
1998-04-07,0.3625,0.36355,0.35309999999999997,0.3552,233903990,85.248,-3.82,180345592.15
1998-04-08,0.3599,0.37395,0.35625,0.36925,226295990,88.62,3.97,179311192.2
1998-04-09,0.3849,0.4,0.38175000000000003,0.39685,320687986,95.244,7.47,185546391.9
1998-04-13,0.3953,0.40104999999999996,0.38335,0.39295,219599991,94.308,-0.98,190003191.75
1998-04-14,0.39115,0.41615,0.38854999999999995,0.40495,326471986,97.188,3.03,203014791.2
1998-04-15,0.40835,0.41664999999999996,0.39375,0.4005,222047990,96.12,-1.09,211016390.85
1998-04-16,0.4005,0.4138,0.38905,0.4104,324887986,98.496,2.47,213601190.75
1998-04-17,0.3992,0.4052,0.39375,0.3953,140711994,94.872,-3.68,208521590.95
1998-04-20,0.39740000000000003,0.4146,0.39065,0.3927,179591992,94.248,-0.66,211088390.85
1998-04-21,0.39685,0.39740000000000003,0.3797,0.38775,167087993,93.06,-1.25,216437990.65
1998-04-22,0.38854999999999995,0.3901,0.3625,0.36355,226031990,87.252,-6.27,222058790.4
1998-04-23,0.3625,0.3625,0.3354,0.3375,245783989,81.0,-7.15,223058390.35
1998-04-24,0.34164999999999995,0.3656,0.3396,0.35365,335711986,84.876,4.77,231965990.0
1998-04-27,0.34740000000000004,0.35259999999999997,0.32134999999999997,0.3448,377711984,82.752,-2.49,243205189.55
1998-04-28,0.38699999999999996,0.4146,0.3711,0.39844999999999997,1391879940,95.628,15.55,307298386.8
1998-04-29,0.4052,0.41095,0.3901,0.3979,573743975,95.496,-0.13,329420385.85
1998-04-30,0.40625,0.40835,0.3771,0.3823,449711981,91.752,-3.92,337454385.5
1998-05-01,0.38645,0.39635,0.3771,0.39375,186143992,94.5,3.01,330118785.8
1998-05-04,0.39585000000000004,0.39949999999999997,0.38905,0.39685,154703993,95.244,0.79,326159985.95
1998-05-05,0.39165,0.3979,0.388,0.3905,119975995,93.72,-1.61,321134386.15
1998-05-06,0.39165,0.39165,0.3755,0.37655,148775994,90.372,-3.56,316877986.35
1998-05-07,0.37915,0.3875,0.3677,0.37915,277751988,90.996,0.69,319450786.25
1998-05-08,0.38020000000000004,0.38645,0.37289999999999995,0.3849,95855996,92.376,1.5,308209186.75
1998-05-11,0.38725,0.3875,0.3604,0.362,227447990,86.88,-5.95,308601586.7
1998-05-12,0.3656,0.38305,0.36095,0.38075,232727990,91.38,5.17,303914386.9
